Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:42:21.327000,SAI,55,0 days 00:01:32.120000,9.0,2.0,,,0 days 00:00:27.051000,0 days 00:00:38.945000,0 days 00:00:26.124000,0 days 00:41:16.258000,0 days 00:41:55.203000,0 days 00:42:21.327000,311.0,278.0,258.0,299.0,True,SOFT,2.0,True,Ferrari,0 days 00:40:49.207000,2023-09-15 13:25:50.611,1,,False,,False,True,fp2
0 days 00:44:55.215000,SAI,55,,10.0,2.0,,0 days 00:44:47.249000,0 days 00:00:42.686000,0 days 00:00:59.335000,0 days 00:00:51.840000,0 days 00:43:04.095000,0 days 00:44:03.375000,0 days 00:44:55.234000,204.0,154.0,,229.0,False,SOFT,3.0,True,Ferrari,0 days 00:42:21.327000,2023-09-15 13:27:22.731,1,,False,,False,False,fp2
0 days 00:47:59.293000,SAI,55,,11.0,3.0,0 days 00:45:13.015000,,0 days 00:01:20.372000,0 days 00:00:55.366000,0 days 00:00:48.393000,0 days 00:46:15.639000,0 days 00:47:10.966000,0 days 00:47:59.293000,171.0,219.0,255.0,,False,SOFT,4.0,False,Ferrari,0 days 00:44:55.215000,2023-09-15 13:29:56.619,1,,False,,False,False,fp2
0 days 00:50:12.968000,SAI,55,0 days 00:02:13.675000,12.0,3.0,,,0 days 00:00:28.858000,0 days 00:00:55.245000,0 days 00:00:49.572000,0 days 00:48:28.151000,0 days 00:49:23.396000,0 days 00:50:12.968000,259.0,120.0,255.0,300.0,False,SOFT,5.0,False,Ferrari,0 days 00:47:59.293000,2023-09-15 13:33:00.697,1,,False,,False,True,fp2
0 days 00:52:01.890000,SAI,55,0 days 00:01:48.922000,13.0,3.0,,0 days 00:51:53.898000,0 days 00:00:27.072000,0 days 00:00:44.157000,0 days 00:00:37.693000,0 days 00:50:40.040000,0 days 00:51:24.197000,0 days 00:52:01.890000,312.0,185.0,,299.0,False,SOFT,6.0,False,Ferrari,0 days 00:50:12.968000,2023-09-15 13:35:14.372,1,,False,,False,False,fp2
0 days 00:58:34.766000,SAI,55,,14.0,4.0,0 days 00:56:39.862000,,,0 days 00:00:44.883000,0 days 00:00:29.018000,,0 days 00:58:05.923000,0 days 00:58:34.766000,274.0,248.0,239.0,,False,MEDIUM,8.0,False,Ferrari,0 days 00:52:01.890000,2023-09-15 13:37:03.294,1,,False,,False,False,fp2
0 days 01:00:13.546000,SAI,55,0 days 00:01:38.780000,15.0,4.0,,,0 days 00:00:29.103000,0 days 00:00:41.731000,0 days 00:00:27.946000,0 days 00:59:03.869000,0 days 00:59:45.600000,0 days 01:00:13.546000,285.0,257.0,241.0,274.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:58:34.766000,2023-09-15 13:43:36.170,1,,False,,False,True,fp2
0 days 01:01:52.105000,SAI,55,0 days 00:01:38.559000,16.0,4.0,,,0 days 00:00:28.941000,0 days 00:00:41.787000,0 days 00:00:27.831000,0 days 01:00:42.487000,0 days 01:01:24.274000,0 days 01:01:52.105000,286.0,257.0,241.0,277.0,False,MEDIUM,10.0,False,Ferrari,0 days 01:00:13.546000,2023-09-15 13:45:14.950,1,,False,,False,True,fp2
0 days 01:03:30.679000,SAI,55,0 days 00:01:38.574000,17.0,4.0,,,0 days 00:00:28.880000,0 days 00:00:41.866000,0 days 00:00:27.828000,0 days 01:02:20.985000,0 days 01:03:02.851000,0 days 01:03:30.679000,283.0,255.0,243.0,275.0,False,MEDIUM,11.0,False,Ferrari,0 days 01:01:52.105000,2023-09-15 13:46:53.509,1,,False,,False,True,fp2
0 days 01:05:08.912000,SAI,55,0 days 00:01:38.233000,18.0,4.0,,,0 days 00:00:28.890000,0 days 00:00:41.542000,0 days 00:00:27.801000,0 days 01:03:59.569000,0 days 01:04:41.111000,0 days 01:05:08.912000,284.0,255.0,243.0,277.0,False,MEDIUM,12.0,False,Ferrari,0 days 01:03:30.679000,2023-09-15 13:48:32.083,1,,False,,False,True,fp2
0 days 01:06:47.011000,SAI,55,0 days 00:01:38.099000,19.0,4.0,,,0 days 00:00:28.788000,0 days 00:00:41.541000,0 days 00:00:27.770000,0 days 01:05:37.700000,0 days 01:06:19.241000,0 days 01:06:47.011000,286.0,256.0,244.0,278.0,False,MEDIUM,13.0,False,Ferrari,0 days 01:05:08.912000,2023-09-15 13:50:10.316,1,,False,,False,True,fp2
