Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:37:27.061000,SAI,55,0 days 00:02:12.050000,9.0,2.0,,0 days 00:37:19.260000,0 days 00:00:40.791000,0 days 00:00:49.448000,0 days 00:00:41.811000,0 days 00:35:55.802000,0 days 00:36:45.250000,0 days 00:37:27.061000,178.0,179.0,,200.0,False,MEDIUM,9.0,False,Ferrari,0 days 00:35:15.011000,2023-09-16 09:50:15.057,1,,False,,False,False,fp3
0 days 00:48:19.034000,SAI,55,,10.0,3.0,0 days 00:46:10.613000,,,0 days 00:00:50.955000,0 days 00:00:31.258000,,0 days 00:47:47.862000,0 days 00:48:19.034000,262.0,251.0,245.0,,False,MEDIUM,10.0,False,Ferrari,0 days 00:37:27.061000,2023-09-16 09:52:27.107,2,,False,,False,False,fp3
0 days 00:49:56.136000,SAI,55,0 days 00:01:37.102000,11.0,3.0,,,0 days 00:00:28.708000,0 days 00:00:41.068000,0 days 00:00:27.326000,0 days 00:48:47.742000,0 days 00:49:28.810000,0 days 00:49:56.136000,287.0,262.0,247.0,282.0,False,MEDIUM,11.0,False,Ferrari,0 days 00:48:19.034000,2023-09-16 10:03:19.080,1,,False,,False,True,fp3
0 days 00:51:33.016000,SAI,55,0 days 00:01:36.880000,12.0,3.0,,,0 days 00:00:28.540000,0 days 00:00:41.097000,0 days 00:00:27.243000,0 days 00:50:24.676000,0 days 00:51:05.773000,0 days 00:51:33.016000,,262.0,247.0,,False,MEDIUM,12.0,False,Ferrari,0 days 00:49:56.136000,2023-09-16 10:04:56.182,1,,False,,False,True,fp3
0 days 00:53:09.422000,SAI,55,0 days 00:01:36.406000,13.0,3.0,,,0 days 00:00:28.408000,0 days 00:00:40.914000,0 days 00:00:27.084000,0 days 00:52:01.424000,0 days 00:52:42.338000,0 days 00:53:09.422000,285.0,260.0,250.0,280.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:51:33.016000,2023-09-16 10:06:33.062,1,,False,,False,True,fp3
0 days 00:54:54.452000,SAI,55,0 days 00:01:45.030000,14.0,3.0,,0 days 00:54:46.639000,0 days 00:00:28.294000,0 days 00:00:40.867000,0 days 00:00:35.869000,0 days 00:53:37.716000,0 days 00:54:18.583000,0 days 00:54:54.452000,,261.0,,281.0,False,MEDIUM,14.0,False,Ferrari,0 days 00:53:09.422000,2023-09-16 10:08:09.468,1,,False,,False,False,fp3
0 days 01:03:19.348000,SAI,55,,15.0,4.0,0 days 01:01:10.291000,,,0 days 00:00:50.415000,0 days 00:00:35.054000,,0 days 01:02:44.462000,0 days 01:03:19.430000,189.0,244.0,257.0,,False,SOFT,1.0,True,Ferrari,0 days 00:54:54.452000,2023-09-16 10:09:54.498,1,,False,,False,False,fp3
0 days 01:04:51.413000,SAI,55,0 days 00:01:32.065000,16.0,4.0,,,0 days 00:00:27.135000,0 days 00:00:38.760000,0 days 00:00:26.170000,0 days 01:03:46.483000,0 days 01:04:25.243000,0 days 01:04:51.413000,311.0,278.0,257.0,301.0,True,SOFT,2.0,True,Ferrari,0 days 01:03:19.348000,2023-09-16 10:18:19.394,2,,False,,False,True,fp3
0 days 01:07:23.959000,SAI,55,,17.0,4.0,,0 days 01:07:14.662000,0 days 00:00:39.477000,0 days 00:00:57.541000,0 days 00:00:55.395000,0 days 01:05:31.132000,0 days 01:06:28.662000,0 days 01:07:23.959000,188.0,148.0,,224.0,False,SOFT,3.0,True,Ferrari,0 days 01:04:51.413000,2023-09-16 10:19:51.459,1,,False,,False,False,fp3
0 days 01:10:15.601000,SAI,55,,18.0,5.0,0 days 01:07:41.255000,,0 days 00:01:13.493000,0 days 00:01:00.227000,0 days 00:00:38,0 days 01:08:37.505000,0 days 01:09:37.691000,0 days 01:10:15.628000,127.0,229.0,256.0,,False,SOFT,4.0,False,Ferrari,0 days 01:07:23.959000,2023-09-16 10:22:24.005,1,,False,,False,False,fp3
0 days 01:12:33.797000,SAI,55,0 days 00:02:18.196000,19.0,5.0,,,0 days 00:00:27.166000,0 days 00:01:08.197000,0 days 00:00:42.833000,0 days 01:10:42.767000,0 days 01:11:50.964000,0 days 01:12:33.797000,310.0,151.0,256.0,302.0,False,SOFT,5.0,False,Ferrari,0 days 01:10:15.601000,2023-09-16 10:25:15.647,1,,False,,False,True,fp3
0 days 01:14:06.380000,SAI,55,0 days 00:01:32.583000,20.0,5.0,,,0 days 00:00:27.182000,0 days 00:00:39.203000,0 days 00:00:26.198000,0 days 01:13:00.979000,0 days 01:13:40.182000,0 days 01:14:06.380000,313.0,278.0,258.0,,False,SOFT,6.0,False,Ferrari,0 days 01:12:33.797000,2023-09-16 10:27:33.843,1,,False,,False,True,fp3
0 days 01:16:11.921000,SAI,55,0 days 00:02:05.541000,21.0,5.0,,,0 days 00:00:33.669000,0 days 00:00:56.259000,0 days 00:00:35.613000,0 days 01:14:40.049000,0 days 01:15:36.308000,0 days 01:16:11.921000,208.0,153.0,230.0,283.0,False,SOFT,7.0,False,Ferrari,0 days 01:14:06.380000,2023-09-16 10:29:06.426,1,,False,,False,True,fp3
0 days 01:18:22.162000,SAI,55,0 days 00:02:10.241000,22.0,5.0,,,0 days 00:00:37.021000,0 days 00:00:52.239000,0 days 00:00:40.981000,0 days 01:16:48.942000,0 days 01:17:41.181000,0 days 01:18:22.162000,176.0,176.0,44.0,206.0,False,SOFT,8.0,False,Ferrari,0 days 01:16:11.921000,2023-09-16 10:31:11.967,1,,False,,False,True,fp3
0 days 01:20:42.618000,SAI,55,0 days 00:02:20.456000,23.0,5.0,,0 days 01:20:34.794000,0 days 00:00:51.839000,0 days 00:00:47.975000,0 days 00:00:40.642000,0 days 01:19:14.001000,0 days 01:20:01.976000,0 days 01:20:42.618000,290.0,188.0,,232.0,False,SOFT,9.0,False,Ferrari,0 days 01:18:22.162000,2023-09-16 10:33:22.208,1,,False,,False,False,fp3
